,Date,Close,High,Low,Open,Volume,returns_1d,returns_5d,returns_10d,sma_20,sma_50,close_to_sma20,close_to_sma50,volatility_10d,volume_ratio,hl_range,rsi_14,target
49,2021-08-23,146.1487579345703,146.61733569322215,144.37204430196212,144.7820517027598,60131800,0.01025708909412315,-0.009330267064892706,0.024779252093424464,143.61740417480468,139.16567489624023,1.0176256754834851,1.0501781997862372,0.012778921571285812,0.8451260469242436,0.015363054896882703,58.35154789956935,0
50,2021-08-24,146.0609130859375,147.2714219782902,145.602092007955,145.89495874434272,48606400,-0.0006010646267150532,-0.003794993148406034,0.027610023726097666,143.7672332763672,139.54318099975586,1.0159541208194576,1.0467076358693088,0.012667370309225653,0.7112368081846432,0.011428998594257757,59.58826958302131,0
51,2021-08-25,144.83087158203125,146.74425443123712,144.28419502392072,146.24637657624294,58991300,-0.008421428278916343,0.013665140201288395,0.01713976231322656,143.94279937744142,139.91246154785156,1.006169618823802,1.035153480824848,0.013159829352056791,0.9027851586247636,0.01698573916213054,54.68560580509005,0
52,2021-08-26,144.0303955078125,145.57281315038713,144.00111032248313,144.82114019917077,48597200,-0.0055269713250697405,0.005725999913696045,-0.009066676632854764,144.04617614746093,140.25579040527344,0.9998904473546575,1.0269122942563171,0.011460408914687711,0.7483566004543372,0.010912299604278686,54.28401156700819,1
53,2021-08-27,145.06515502929688,145.21158091727293,143.33725507209095,143.97178711441077,55802400,0.00718431354601301,0.0027666558377177353,-0.003353503556303039,144.19056701660156,140.58784301757814,1.0060655008908774,1.0318470780660525,0.011729283974850018,0.8691062374380224,0.01292057934107911,57.23341039025155,1
54,2021-08-30,149.47760009765625,149.8388087234133,145.07488865020937,145.45561079403902,90956700,0.030416987921518812,0.022777081448589698,0.013234298130822886,144.5721519470215,141.0340725708008,1.0339307956931592,1.059868706709981,0.014759572382618895,1.3863134832793875,0.03187046132725963,67.58647109612545,0
55,2021-08-31,148.2183380126953,149.16526528048843,147.69117494824357,149.02859613337498,86453100,-0.008424420007668298,0.014770720524583059,0.010919672592989205,144.80109786987305,141.4192465209961,1.0235995458120988,1.048077554215294,0.014905648098196661,1.2962687241889466,0.009945397796314488,63.32003459531847,1
56,2021-09-01,148.88211059570312,151.29335581344367,148.71615631662897,149.19450563571235,80313700,0.004478343178770272,0.027972206266654087,0.042019590588315614,145.0832145690918,141.78494384765625,1.0261842559657526,1.0500558561117221,0.011587083876136304,1.1829786770220772,0.017310336927001357,59.02298084812443,1
57,2021-09-02,149.99501037597656,151.03956466217258,148.77474502994417,150.20977826854366,71115500,0.007475040324324667,0.041412195301793187,0.04737532144221346,145.41561431884764,142.17835845947266,1.0314917767158611,1.0549777898774377,0.011609653679917039,1.0287663411256127,0.015099299813716646,60.8385026100814,1
58,2021-09-03,150.6295623779297,150.9517142276546,149.44833892893834,150.10239938899159,57808700,0.004230487403298122,0.038357987123158965,0.04123076630987388,145.81390838623048,142.59011688232422,1.0330260264263924,1.0563815057549901,0.011450293726387095,0.8340472044398684,0.009980612537028385,58.10401817047648,1
59,2021-09-07,152.96270751953125,153.51914078415754,150.71741625258127,151.2836211735212,82278300,0.015489291111048242,0.023315248703472014,0.04662338347077499,146.3313003540039,143.0543862915039,1.045317762840108,1.0692626174204616,0.011874248968969646,1.1591832548377141,0.018316389510943557,65.41754626364997,0
60,2021-09-08,151.4202880859375,153.30437064554417,150.31716343749,153.24580029178898,74420200,-0.010083630569868163,0.021602927924936788,0.036692739260411944,146.79548873901368,143.45525115966797,1.0315050509157417,1.0555227979588166,0.012689086200675579,1.0445028309010322,0.019727919196394637,73.23438589500947,0
61,2021-09-09,150.405029296875,152.39649574316758,150.2878736971047,151.7912489116524,57305700,-0.006704905940254857,0.01022902412572213,0.038487358765127544,147.19622344970702,143.80559356689454,1.0217995120524566,1.0458913701914563,0.012517618931953018,0.7993540522591641,0.014019624582505249,68.86849609551639,0
62,2021-09-10,145.4263458251953,151.78148246152148,145.16276433644302,151.3129047338198,140893200,-0.033101841706719703,-0.03045877685750653,0.009692053628409969,147.20012969970702,144.0440802001953,0.9879498484265585,1.0095961293451206,0.017035522309874433,1.8755615974006576,0.04551251073195677,51.685367453403394,1
63,2021-09-13,145.99258422851562,147.81809686029018,145.21161123932484,147.04689552955006,102404300,0.003893643893114973,-0.030783984738532832,0.006393190694425899,147.22209548950195,144.28784790039063,0.9916485955664582,1.011814829543385,0.016936342783330647,1.3252445047854007,0.017853548073959218,49.639684485415934,0
64,2021-09-14,144.59657287597656,147.4764113119793,143.41536423851278,146.77353720711707,109296300,-0.009562207285501167,-0.054693949781756124,-0.032653904120020893,147.0756637573242,144.4512533569336,0.9831441122343791,1.001006010786794,0.013537136023097397,1.4089655007050224,0.02808536186365741,46.81387635581319,1
65,2021-09-15,145.48492431640625,145.8851749521173,142.88819590848047,145.02610332343372,83281300,0.006143654878955074,-0.03919794265721299,-0.01844180506230575,147.01904373168946,144.59226654052733,0.9895651653259084,1.006173620465578,0.013699053937568808,1.079827966692858,0.02059992853361824,51.44457280897695,0
66,2021-09-16,145.25062561035156,145.42635157507343,143.71798000246844,144.90896023332135,68034100,-0.0016104672505112827,-0.03427015513124554,-0.02439168124915314,147.13765411376954,144.67888122558594,0.9871750809486273,1.0039518164636216,0.01352447044827228,0.8927187447369935,0.011761543645174073,52.764191502761456,0
67,2021-09-17,142.5855712890625,145.27992686740734,142.29270460935308,145.27992686740734,129868800,-0.018347971377681516,-0.019534112062111975,-0.04939790375920916,147.1064140319824,144.7381234741211,0.9692682146276977,0.9851279529304975,0.013893297493701955,1.657432037575443,0.02095038250397924,44.76933872379874,0
68,2021-09-20,139.53982543945312,141.3946233415319,137.90955225490944,140.37936883525987,123478900,-0.021360827901967472,-0.044199223016439526,-0.0736225795481793,146.85015945434571,144.6999948120117,0.950219093788827,0.9643388420347736,0.014360315217646184,1.5150433005269386,0.024975458265387145,27.753601604599567,1
69,2021-09-21,140.01812744140625,141.16030897663776,139.38359538478255,140.5062336067531,75834000,0.003427709619435282,-0.031663581947390496,-0.08462572536820556,146.5436279296875,144.68332427978515,0.9554705954774628,0.967755808337957,0.012612759788763367,0.9215792943247844,0.012689168354995454,30.97816737941301,1
70,2021-09-22,142.3805694580078,142.94675948187773,140.28170408222925,141.01386330488788,76404300,0.01687240116527189,-0.02133798311395463,-0.05969952073264617,146.359610748291,144.69167846679687,0.9728132558569977,0.984027353657941,0.014954598497152976,0.9130871244035093,0.018717830739077658,36.020237083602645,1
71,2021-09-23,143.33731079101562,143.5813639630573,142.1756153087655,143.1615847613174,64838200,0.006719606029458758,-0.013172506564402608,-0.046991237852218704,146.28493270874023,144.65074005126954,0.9798501331398671,0.9909199962628025,0.015481070070045233,0.7721660472235995,0.009807276601842909,35.58767550526822,1
72,2021-09-24,143.4251251220703,143.96204492535793,142.09747565204063,142.19510285111807,53477900,0.0006126411230271689,0.005888070057985084,-0.013761060224469213,146.25466918945312,144.6246188354492,0.9806533078016297,0.9917061581697674,0.011852649637369709,0.6350292970419867,0.013000297344906273,34.02599687387931,0
73,2021-09-27,141.91197204589844,142.48794860245857,140.39885495340664,142.00959923062172,74150700,-0.010550125543791755,0.016999781954540216,-0.02795081821573886,146.0970100402832,144.6089794921875,0.9713543898452759,0.9813496543868856,0.012025364311780546,0.8710219034391766,0.014721052910012827,24.573230973835976,0
74,2021-09-28,138.53431701660156,141.3067568929059,138.31954907870838,139.8424381686271,108972300,-0.02380105765991647,-0.010597273738185198,-0.041925308040147824,145.54984588623046,144.60259735107422,0.9517998193202306,0.9580347763758368,0.013652463275009396,1.2666561860063426,0.021562944680627683,22.659535549289217,1
75,2021-09-29,139.43240356445312,141.0138627120859,138.6514307510702,139.08096654322168,74602000,0.0064827731293750634,-0.020706237548966833,-0.041602391315748055,145.11054916381835,144.54204528808594,0.9608702080442474,0.9646494436034247,0.013681372441574868,0.8731617862210805,0.016943206174622624,26.602790608084987,0
76,2021-09-30,138.134033203125,140.94552924628812,137.91926531672686,140.24265523549735,89056700,-0.00931182657787255,-0.036300929319630915,-0.0489952616542767,144.57314529418946,144.47014770507812,0.9554612159958088,0.9561423961793983,0.013738827762805323,1.0370374424446764,0.021908170342866597,31.5555064980977,1
77,2021-10-01,139.25665283203125,139.5202342750178,135.80086848455736,138.52449374270236,94639600,0.008127031426465647,-0.029063752159820266,-0.02334681151070017,144.03622741699218,144.39340881347655,0.9668168580177832,0.9644252738150892,0.01341193763883993,1.0871582620902212,0.026708711683216115,33.42915444190524,0
78,2021-10-04,135.8302001953125,138.82717957779718,134.98090012736012,138.3878720570302,98322000,-0.02460530658346116,-0.04285594628069089,-0.026584706068377928,143.29625930786133,144.21383026123047,0.9478977389318408,0.9418666708267038,0.013953180395616268,1.1037749638125893,0.02831682089039431,30.39289095417739,1
79,2021-10-05,137.75331115722656,138.8564357660988,136.04493972017434,136.17185207930245,80861100,0.01415819868592405,-0.005637634603427588,-0.01617516478448444,142.5357894897461,144.06433074951173,0.9664471754803479,0.9561930454301121,0.014852111400669558,0.908479415345386,0.020409644039086065,33.47228773084859,1
80,2021-10-06,138.6221466064453,138.76857249312508,135.07849119061893,136.15233067899587,83221100,0.0063071837759827165,-0.005811109450130525,-0.02639702078639994,141.8958824157715,143.97548706054687,0.9769286060061013,0.9628176951271553,0.013731095193910723,0.9303943530884866,0.026619709713358107,36.204684520807746,1
81,2021-10-07,139.8814697265625,140.78935501402486,139.32503639848235,139.6569450430087,61732700,0.009084573792472517,0.012650296837911856,-0.024109850013104506,141.36970443725585,143.94672546386718,0.9894727465363424,0.971758609136787,0.013928132506663696,0.6884548889673879,0.01046828159873449,44.02240787513762,0
82,2021-10-08,139.50076293945312,140.75031377150447,139.16885425815033,140.6038878520535,58773200,-0.002721638454711517,0.0017529511334464232,-0.027361748363664562,141.07342529296875,143.89748352050782,0.9888521714826896,0.9694454658032425,0.013889195366186543,0.6869039260493575,0.011336565335062195,49.90211672580448,0
83,2021-10-11,139.41290283203125,141.3653278052875,138.43669034540312,138.88575464341304,64452200,-0.0006298181140415027,0.02637633333063727,-0.017609995674353063,140.74444122314452,143.84219482421875,0.9905393180750764,0.9692072830395818,0.013616455558513237,0.7703615627443156,0.021006932646778706,48.45315312785666,0
84,2021-10-12,138.14381408691406,139.84242905892054,137.68499305819657,139.82290063970592,73035900,-0.00910309389831887,0.002834798861871324,-0.0028188173017137386,140.42180328369142,143.76815307617187,0.9837775249746994,0.9608791038285238,0.01161011004226914,0.8922938210926203,0.015617318914957795,38.53059801493344,0
85,2021-10-13,137.55809020996094,138.03642474342516,135.88876048394778,137.88024208325538,78762700,-0.004239957328705413,-0.007675948053995185,-0.01344245172985048,140.02546157836915,143.6465264892578,0.982379123478002,0.9576151513851455,0.011415688630429823,0.964922661821147,0.015612780434791633,34.034244340595365,1
86,2021-10-14,140.3402862548828,140.45744186952987,138.1438084019397,138.72954178771872,69907100,0.02022560825521258,0.0032800379436761506,0.015971828235215035,139.7799446105957,143.5885366821289,1.004008741353047,0.9773780658101074,0.012842602398244893,0.8554511483601785,0.016485882488426716,42.58209058179998,1
87,2021-10-15,141.3945770263672,141.453147377337,140.09621296187518,140.35003767716657,67940300,0.007512388634932643,0.013575653974996715,0.015352402566465972,139.72039489746095,143.54948791503907,1.0119823747287209,0.9849883763434442,0.012809642409158878,0.8641259517156176,0.009596792493737348,48.72777890337152,1
88,2021-10-18,143.06393432617188,143.347029376178,139.75457479053856,140.03766984054468,85589200,0.011806374296048139,0.026188619704300198,0.05325571279772734,139.89660034179687,143.55749298095702,1.022640535771681,0.9965619443155739,0.009199877765154517,1.1154788836400897,0.025110833156936654,62.1593790320929,1
89,2021-10-19,145.2213134765625,145.62156403141842,143.0638929755576,143.51294222106137,76378900,0.015079825398007118,0.05123283613116092,0.0542128697785873,140.1567596435547,143.60962188720703,1.0361349238230673,1.011222727058089,0.009303181939351606,0.9950882606361034,0.017612229187512544,64.55574108121215,1
90,2021-10-20,145.70945739746094,146.18780683574556,144.59657585778285,145.16278083703227,58418800,0.0033613793265767633,0.05925763562912367,0.051126829042236865,140.32320404052734,143.68108062744142,1.0383846235108627,1.0141172154410434,0.009315507894325557,0.7701212141905065,0.010920574452639732,69.85685202442995,1
91,2021-10-21,145.92420959472656,146.0804071368253,144.35250720492448,145.27014914498275,61421000,0.001473838425462226,0.03978845625056193,0.043199001840460216,140.4525489807129,143.7517581176758,1.0389573607152196,1.015112521095376,0.00925885588860866,0.8115263939311181,0.011841077890363063,68.35051364556062,0
92,2021-10-22,145.1530303955078,146.60757740087539,145.1042167942401,146.12924283758312,58883400,-0.005284792710959607,0.02658131201481484,0.04051782468392595,140.53894424438477,143.74785430908204,1.032831370521039,1.0097752839037473,0.009506284844384512,0.7752299372617413,0.010357073514338486,80.05048244574269,0
