Date,Close,High,Low,Open,Volume
2021-06-21,252.045166015625,252.8992809067008,247.52500245412696,249.34842044965174,26696100
2021-06-22,254.80905151367188,255.07776538792695,251.82437988299503,252.13148982146245,24694100
2021-06-23,254.57875061035156,256.0758752225199,253.77260884130868,255.26973345347702,19518700
2021-06-24,255.9415283203125,257.05478006360823,254.77069711508946,255.43289021487416,21446900
2021-06-25,254.33876037597656,256.47889415229423,254.0892591971492,255.500014248556,25611100
2021-06-28,257.88970947265625,258.06244785704735,255.1929639728323,255.46167788886962,19590000
2021-06-29,260.4617004394531,260.7016246346419,257.17955385033815,258.03366875564717,19937800
2021-06-30,259.9818115234375,260.42326377323786,258.7342176179776,259.7802834314268,21656500
2021-07-01,260.65362548828125,260.88394332062984,258.7342321183935,258.7438091696623,16725300
2021-07-02,266.4598388671875,266.7957386402668,261.5174056815565,261.8245157190933,26458000
2021-07-06,266.4693603515625,268.1104333301389,263.24476455954283,266.8244434060529,31565600
2021-07-07,268.64794921875,269.3773282430186,265.9799929781562,268.1393110275168,23260000
2021-07-08,266.2391662597656,267.49636704168825,263.7919212302574,265.7401050538773,24618600
2021-07-09,266.7381286621094,266.8436812511514,264.2237277535544,264.6076006127589,23916700
2021-07-12,266.1430969238281,268.49433627554,265.43290144744316,267.9089353442858,18931700
2021-07-13,269.6556091308594,271.45023740575635,266.2103012391227,266.3350372176916,26120100
2021-07-14,271.1239013671875,272.2275466221714,269.2428749057434,270.97034639354206,23113700
2021-07-15,269.7035827636719,271.12394453030225,268.5519349217963,270.634489804362,22604200
2021-07-16,269.434814453125,272.64980384909137,268.19679766614735,270.7016209659572,26186800
2021-07-19,265.8455810546875,269.0701477729701,263.38875994905754,267.688182240101,32935600
2021-07-20,268.0626220703125,269.6461165522463,265.12595105650547,266.82460451346964,26259700
2021-07-21,270.0586853027344,270.1738442376785,266.1143453427813,267.65944319932055,24364300
2021-07-22,274.60760498046875,274.8763188626381,271.9972290018453,272.40028518129105,23384100
2021-07-23,277.9953918457031,278.30247257073574,274.9531400276046,275.78807157831795,22768100
2021-07-26,277.40032958984375,278.01454955841905,275.08748623115633,277.3523564681326,23176100
2021-07-27,274.9915771484375,277.9090348412776,271.54626855112554,277.76508615374064,33604100
2021-07-28,274.6844177246094,278.4560190983951,272.3907283274344,277.34276730213355,33566900
2021-07-29,274.9530944824219,276.9876467259065,274.5500089966287,274.7035639775205,18168300
2021-07-30,273.4272155761719,275.10668495635474,272.4675187874959,273.6767461132666,20944800
2021-08-02,273.3407897949219,275.2121805728668,272.30430107664915,274.8187014564499,16267400
